comm_node,comm_degree,comm_betweenness,comm_closeness,comm_degree_norm,comm_betweenness_norm,comm_closeness_norm
0,40,0.39917602145578257,0.5342465753424658,1.0,1.0,1.0
1,22,0.21042777368124596,0.5,0.5263157894736842,0.5271553459394239,0.8687277634646055
2,7,0.04551080057626842,0.4317343173431734,0.13157894736842105,0.1140118597562347,0.6070552093080738
3,3,0.0009885989481740241,0.39661016949152544,0.02631578947368421,0.002476599031596724,0.4724191063174114
4,28,0.26708426226566134,0.4957627118644068,0.6842105263157895,0.6690889429971603,0.8524856053848024
5,13,0.09860844904109622,0.45348837209302323,0.2894736842105263,0.247029991133922,0.690441749193279
6,14,0.12027483113006376,0.43656716417910446,0.3157894736842105,0.3013077556397932,0.6255802328072555
7,3,0.013069976001010482,0.39661016949152544,0.02631578947368421,0.03274238756462546,0.4724191063174114
8,7,0.01923044298837454,0.36792452830188677,0.13157894736842105,0.04817534609980256,0.36246276067527294
9,3,0.01556254907693025,0.38235294117647056,0.02631578947368421,0.03898668316842809,0.4177690214841916
10,9,0.05554408619596899,0.38870431893687707,0.18421052631578946,0.1391468505382699,0.4421148007439316
11,3,0.001078583588530538,0.3811074918566775,0.02631578947368421,0.00270202499788684,0.41299502828733065
12,4,0.01636157461754279,0.375,0.05263157894736842,0.04098837038826289,0.38958410011041583
13,5,0.01618360480489088,0.4134275618374558,0.07894736842105263,0.040542527444082876,0.5368826821309618
14,2,0.0009885989481740241,0.3588957055214724,0.0,0.002476599031596724,0.32785393489300485
15,5,0.025199551570020184,0.3848684210526316,0.07894736842105263,0.06312892111634913,0.42741123142785187
16,9,0.048737987397814736,0.3939393939393939,0.18421052631578946,0.12209648069558088,0.4621816248610506
17,5,0.02065018478590538,0.3979591836734694,0.07894736842105263,0.05173202716584728,0.47759007909383844
18,5,0.038159558001121946,0.4119718309859155,0.07894736842105263,0.09559581725865,0.5313026484264438
19,3,0.0069402534092425075,0.4105263157894737,0.02631578947368421,0.017386448674776653,0.5257617728531855
20,2,0.0009885989481740241,0.3588957055214724,0.0,0.002476599031596724,0.32785393489300485
21,5,0.00965548259993589,0.3588957055214724,0.07894736842105263,0.024188533581557942,0.32785393489300485
22,4,0.01341664156650894,0.3836065573770492,0.05263157894736842,0.03361084044472126,0.42257431955447483
23,2,0.0015724477740782937,0.4006849315068493,0.0,0.003939234046032187,0.48803827751196166
24,5,0.016577597272350517,0.34310850439882695,0.07894736842105263,0.04152954180938157,0.2673392358528952
25,3,0.009093572204470313,0.3622291021671827,0.02631578947368421,0.022780857856407148,0.3406313419349105
26,8,0.022678360932141282,0.34011627906976744,0.15789473684210525,0.056812933926827576,0.25586958940692106
27,7,0.03582054342929711,0.36,0.13157894736842105,0.08973621035316875,0.33208686050791303
28,2,0.0,0.39,0.0,0.0,0.44708133971291864
29,3,0.004304794822036202,0.32142857142857145,0.02631578947368421,0.010784201932612958,0.18423681581576326
30,3,0.003035333285112242,0.365625,0.02631578947368421,0.007603997038806278,0.35364832535885155
31,5,0.010224095452862651,0.32590529247910865,0.07894736842105263,0.025613000038368267,0.20139675600751694
32,4,0.016968707275957493,0.375,0.05263157894736842,0.042509335140104715,0.38958410011041583
33,5,0.013728486285957549,0.34110787172011664,0.07894736842105263,0.034392061516847094,0.2596705120872683
34,3,0.0061146548215513736,0.33238636363636365,0.02631578947368421,0.015318191707135657,0.2262396694214876
35,4,0.005281824391019794,0.2969543147208122,0.05263157894736842,0.013231817812495711,0.09042333568115025
36,2,0.0015724477740782937,0.4006849315068493,0.0,0.003939234046032187,0.48803827751196166
37,6,0.01818654419229132,0.3305084745762712,0.10526315789473684,0.045560212073775266,0.21904144027248398
38,2,0.0,0.35240963855421686,0.0,0.0,0.3029918717933936
39,3,0.008026866517686896,0.3295774647887324,0.02631578947368421,0.020108588908755498,0.21547274075072442
40,2,0.0,0.3492537313432836,0.0,0.0,0.2908948082553738
41,3,0.002589425997914061,0.3188010899182561,0.02631578947368421,0.006486927717928809,0.17416528688578015
42,2,0.0,0.31536388140161725,0.0,0.0,0.1609899534427836
43,4,0.013204137529955393,0.3492537313432836,0.05263157894736842,0.033078483727054325,0.2908948082553738
44,2,0.004797692728727212,0.36,0.0,0.01201899029713803,0.33208686050791303
45,4,0.023151072001646705,0.40344827586206894,0.05263157894736842,0.05799715102429115,0.4986305890117141
46,2,0.0003070046173494449,0.30708661417322836,0.0,0.0007690958395492008,0.12926195230380894
47,2,0.002308908630747712,0.365625,0.0,0.005784186691192506,0.35364832535885155
48,2,0.00022367479264030987,0.2733644859813084,0.0,0.0005603412545287035,0.0
49,7,0.031764260643570984,0.3667711598746082,0.13157894736842105,0.07957457095676165,0.3580417272877264
50,5,0.02546133802291862,0.3939393939393939,0.07894736842105263,0.06378473819660287,0.4621816248610506
51,2,0.0010046318284733012,0.3078947368421053,0.0,0.0025167639699635266,0.13235960715185094
52,3,0.002162715955819404,0.3023255813953488,0.02631578947368421,0.005417950577121456,0.11101220281146833
53,2,0.0027575193578730276,0.34110787172011664,0.0,0.00690802856297941,0.2596705120872683
54,2,0.0010487277728657037,0.31536388140161725,0.0,0.00262723138790007,0.1609899534427836
55,2,0.0,0.3078947368421053,0.0,0.0,0.13235960715185094
56,2,0.0016420476328680121,0.28329297820823246,0.0,0.0041135928628165475,0.03805739309753587
57,5,0.030316477286883477,0.3836065573770492,0.07894736842105263,0.07594764128446449,0.42257431955447483
58,2,0.0012417021037710691,0.29846938775510207,0.0,0.0031106630584738534,0.09623083683234067
59,3,0.0023337613854855226,0.29923273657289,0.02631578947368421,0.005846446830584581,0.09915686682411672
60,2,0.0024181902429162463,0.37987012987012986,0.0,0.006057954668963285,0.4082520350462933
61,3,0.005571512025977103,0.3577981651376147,0.02631578947368421,0.01395753183184193,0.323646898731399
62,5,0.009872248476814973,0.370253164556962,0.07894736842105263,0.02473156689324972,0.37138877112228197
63,2,0.0006262894193928676,0.2969543147208122,0.0,0.0015689555126803696,0.09042333568115025
64,3,0.007789104827124278,0.35135135135135137,0.02631578947368421,0.019512957714037167,0.29893529893529897
65,2,0.002590539515826872,0.34513274336283184,0.0,0.006489717259015846,0.27509844603463596
66,4,0.004860714448468649,0.3078947368421053,0.05263157894736842,0.012176869819839814,0.13235960715185094
67,3,0.002841052805945925,0.3567073170731707,0.02631578947368421,0.0071172932572069175,0.3194655152293149
68,2,0.003750666106987946,0.3738019169329074,0.0,0.009396020565838055,0.38499166883226077
69,6,0.03598183817438026,0.3644859813084112,0.10526315789473684,0.09014027957680328,0.3492822966507176
70,2,0.00103352373467316,0.2947103274559194,0.0,0.0025891428320366813,0.08182179745218326
71,2,0.0055796810668987595,0.35454545454545455,0.0,0.013977996590451089,0.3111787733797303
72,3,0.004796287965945397,0.30548302872062666,0.02631578947368421,0.012015471140910427,0.12311516983772042
73,2,0.0007430734442228692,0.2860635696821516,0.0,0.0018615182382771976,0.04867748388530778
74,3,0.005038021831788411,0.34110787172011664,0.02631578947368421,0.012621053272225374,0.2596705120872683
75,3,0.00034138913449258275,0.34310850439882695,0.02631578947368421,0.0008552345735787114,0.2673392358528952
76,2,0.000965397948156569,0.30310880829015546,0.0,0.0024184768028795733,0.11401442844038978
77,2,0.004563492063492063,0.36908517350157727,0.0,0.011432280042396206,0.36691168701794624
78,2,0.0,0.39,0.0,0.0,0.44708133971291864
79,4,0.009302865160513258,0.3188010899182561,0.05263157894736842,0.023305170302028656,0.17416528688578015
80,2,0.0017837845424052321,0.33620689655172414,0.0,0.0044686665694493,0.24088434251773633
81,2,0.0007017739113229829,0.29177057356608477,0.0,0.0017580562799429566,0.07055328186710248
82,3,0.00483922208060139,0.3305084745762712,0.02631578947368421,0.012123027988887952,0.21904144027248398
83,2,0.0,0.335243553008596,0.0,0.0,0.23719170288315208
84,2,0.0007461780450286196,0.291044776119403,0.0,0.0018692957615723796,0.0677711918874527
85,2,0.001203939675880176,0.29770992366412213,0.0,0.003016062115879219,0.093319697578436
86,2,0.0015724477740782937,0.4006849315068493,0.0,0.003939234046032187,0.48803827751196166
87,4,0.015238071847267252,0.34411764705882353,0.05263157894736842,0.03817381563074474,0.2712074303405572
88,2,0.0,0.36335403726708076,0.0,0.0,0.34494338613331754
89,2,0.0014140314027715527,0.2759433962264151,0.0,0.0035423756106757716,0.009885348018416612
90,2,0.0007472200000935632,0.2772511848341232,0.0,0.0018719060262399406,0.014898297013537619
91,2,0.0051834077489519,0.365625,0.0,0.01298526832861396,0.35364832535885155
92,3,0.0016278846738616852,0.3038961038961039,0.02631578947368421,0.004078112377403934,0.11703225004660406
93,2,0.0022602663407261104,0.3371757925072046,0.0,0.00566232994778341,0.24459826537788
94,3,0.0021385993963619174,0.3046875,0.02631578947368421,0.005357534725063173,0.1200657894736842
95,2,0.0021197353093904817,0.31117021276595747,0.0,0.005310277159584568,0.14491499541891484
96,2,0.001167962518537231,0.2860635696821516,0.0,0.0029259335625364167,0.04867748388530778
97,2,0.0019017912696073609,0.34411764705882353,0.0,0.004764292360727449,0.2712074303405572
98,2,0.0019795657726692202,0.3622291021671827,0.0,0.0049591299734132455,0.3406313419349105
99,2,0.0,0.3762057877813505,0.0,0.0,0.39420606470868785
100,2,0.0010732296651836878,0.2752941176470588,0.0,0.002688612560618377,0.007396566282015099
101,2,0.002198844475486876,0.31451612903225806,0.0,0.0055084583173802834,0.15774039203580797
102,2,0.0,0.35454545454545455,0.0,0.0,0.3111787733797303
103,2,0.007107770900874349,0.3567073170731707,0.0,0.0178061068772431,0.3194655152293149
104,2,7.368110816386678e-05,0.2799043062200957,0.0,0.00018458300149180821,0.025068107415123334
105,2,0.0028212220071324448,0.3342857142857143,0.0,0.0070676139234103685,0.23352016404647985
106,2,0.0,0.34310850439882695,0.0,0.0,0.2673392358528952
107,2,0.001443458627366673,0.35135135135135137,0.0,0.00361609553124565,0.29893529893529897
108,2,0.0017956034534283866,0.29846938775510207,0.0,0.004498274838453163,0.09623083683234067
109,2,0.0010628929831093454,0.28125,0.0,0.002662717513023472,0.030226352594773635
110,2,0.0024181902429162463,0.37987012987012986,0.0,0.006057954668963285,0.4082520350462933
111,2,0.0004715590922487474,0.29770992366412213,0.0,0.0011813312095475725,0.093319697578436
112,2,0.0,0.335243553008596,0.0,0.0,0.23719170288315208
113,2,0.0003855977993909028,0.2932330827067669,0.0,0.0009659843744737963,0.07615929776594589
114,2,0.0,0.3342857142857143,0.0,0.0,0.23352016404647985
115,2,0.0023186743014329213,0.3188010899182561,0.0,0.0058086512636124485,0.17416528688578015
116,2,0.0,0.3667711598746082,0.0,0.0,0.3580417272877264
117,2,0.0016106272510027645,0.3482142857142857,0.0,0.0040348797633907385,0.28691045796308945
